,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
153,Ruby,The Ruby programming language and other libraries,"ruby,  c",https://summerofcode.withgoogle.com/archive/2019/organizations/6496971961925632/
154,Ruby Science Foundation,Tools for scientific computation in Ruby,"ruby,  c/c++,  cuda,  ai,  machine learning",https://summerofcode.withgoogle.com/archive/2019/organizations/6207728010133504/
155,SageMath,open-source mathematics software system,"python,  cython",https://summerofcode.withgoogle.com/archive/2019/organizations/4925411685826560/
156,Salesforce,"From the kernel to the browser, open source projects from Salesforce.","scala,  apache spark,  javascript,  nodejs,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/5996747724161024/
157,Samba,Samba is the standard Windows interoperability suite of programs for Linux/Unix.,"c,  smb",https://summerofcode.withgoogle.com/archive/2019/organizations/4908878360215552/
158,SCoRe Lab (Sustainable Computing Research Lab),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python,  nodejs,  android,  golang",https://summerofcode.withgoogle.com/archive/2019/organizations/4922378566500352/
159,ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c/c++,  sdl,  opengl,  assembly,  lua",https://summerofcode.withgoogle.com/archive/2019/organizations/5793284520148992/
160,shogun.ml,Unified and efficient Machine Learning,"c++11,  c++17,  python,  swig,  cmake",https://summerofcode.withgoogle.com/archive/2019/organizations/5700571963588608/
161,Software and Computational Systems Lab at LMU Munich,"Software Analysis, Software Verification, and Benchmarking","python,  java,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/5660544999096320/
162,Software Heritage,The Great Library of Source Code,"python,  javascript,  postgres,  django,  git",https://summerofcode.withgoogle.com/archive/2019/organizations/5852998071222272/
163,SPDX (Software Product Data Exchange),Promoting open source compliance through standard communication of SW licenses.,"python,  java,  golang,  xml",https://summerofcode.withgoogle.com/archive/2019/organizations/6051311592669184/
164,strace,linux syscall tracer,"linux,  c,  shell script,  make,  awk",https://summerofcode.withgoogle.com/archive/2019/organizations/5915389047865344/
165,Submitty,Programming assignment submission with automated grading and manual TA grading,"php,  python,  postgresql,  c++,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/6109881407373312/
166,Sugar Labs,"Sugar is an activity-focused, open-source learning platform for children.","python,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/5488361639247872/
